,undp_hdi,ccodealp,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,ht_region
0,0.479,AFG,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094,SouthAsia
1,0.76200002,ALB,8516.7002,,15.0,4.5100002,29.700001,5.883105278015137,EastEurope
2,0.74299997,DZA,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.207178115844727,NorthAfrica
3,0.85699999,AND,32367.33,,,9.9799995,33.099998,8.127135276794434,WesternDem
4,0.53100002,AGO,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959,SubSaharian
5,0.78399998,ATG,12257.71,,,8.5600004,,5.541683197021484,Caribbean
6,0.75800002,AZE,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367,EastEurope
7,0.82599998,ARG,15102.61,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176,LatAm
8,0.93699998,AUS,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745115,WesternDem
9,0.89200002,AUT,38868.039,8.543999671936035,3.299999952316284,12.32,,11.20547294616699,WesternDem
10,0.79000002,BHS,21672.029,0.3560000061988831,,9.4499998,,7.742364883422852,Caribbean
11,0.82300001,BHR,22498.48,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686,NorthAfrica
12,0.57499999,BGD,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.818998575210571,SouthAsia
13,0.741,ARM,6451.9399,2.980000019073486,14.69999980926514,3.9100001,28.0,4.480149269104004,EastEurope
14,0.79400003,BRB,22888.971,0.2790000140666962,16.89999961853027,8.8199997,7.0,7.469303131103516,Caribbean
15,0.89499998,BEL,33764.711,11.18099975585938,3.400000095367432,12.6,23.9,10.59475135803223,WesternDem
16,0.60399997,BTN,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537,SouthAsia
17,0.671,BOL,4023.8701,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703,LatAm
18,0.74699998,BIH,8507.6504,3.871000051498413,5.699999809265137,4.0300002,39.200001,9.572015762329102,EastEurope
19,0.69800001,BWA,12770.73,,41.0,5.7600002,,5.412002563476563,SubSaharian
20,0.75400001,BRA,9815.2402,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578,LatAm
21,0.70599997,BLZ,6649.1401,0.3499999940395355,15.69999980926514,6.5799999,,5.788949966430664,Caribbean
22,0.514,SLB,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334,Pacific
23,0.86400002,BRN,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875,SouthEastAsia
24,0.792,BGR,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419922,EastEurope
25,0.55199999,MMR,5733.3701,51.41899871826172,41.09999847412109,0.69999999,20.0,2.275754690170288,SouthEastAsia
26,0.40599999,BDI,663.57001,,66.9000015258789,4.1599998,,7.535565376281738,SubSaharian
27,0.79799998,BLR,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565,EastEurope
28,0.55800003,KHM,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697,SouthEastAsia
29,0.514,CMR,2658.51,,61.09999847412109,6.1900001,18.799999,4.103671550750732,SubSaharian
30,0.91900003,CAN,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455,WesternDem
31,0.64600003,CPV,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902,SubSaharian
32,0.347,CAF,690.03998,,,1.66,,4.200222015380859,SubSaharian
33,0.764,LKA,5466.8701,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956,SouthAsia
34,0.39399999,TCD,1651.05,,89.4000015258789,0.63999999,,3.621164321899414,SubSaharian
