Unnamed: 0,index,song,year,artist,genre,lyrics
85071,85071,beautiful-newborn-child,2006,the-animals,Rock,Oh yeah I'm a child of the funky time Oh yeah my people have committed ugly crimes And in the process of me breaking free I have inherited a painful legacy I have even created some ugly children for you to adopt That you have chosen to embrace You embrace the ugly the dyin and the freak Only because he is a part of you and you are afraid to speak Deep down way down in the depths of you He is ready to take over and rape the last part of the sanity in your mind Let him out let him out let him run wild scream free Get crazy and forget about music what it was what it is or what its supposed to be Give it to the day give in to the funky Give in to the gypsy to the nigger in you soul and fly free Fly free Give it to the Oh lord curse of the newborn child The incredible madness of just you and then Yeah yeah Maybe we will see A beautiful newborn child Something beautiful something beautiful etc Burdon WAR 
38294,38294,your-always-be-my-baby,2009,david-cook,Rock,We were as one babe For a moment in time And it seemed everlasting That you would always be mine Now you want to be free So I'm letting you fly Cause I know in my heart babe Our love will never die No You'll always be a part of me I'm a part of you indefinitely Girl don't you know you can't escape me Ooh darling cause you'll always be my baby And we'll linger on Time can't erase a feeling this strong No way you're never gonna shake me Ooh darling cause you'll always be my baby I ain't gonna cry no And I won't beg you to stay If you're determined to leave girl I will not stand in your way But inevitably you'll be back again Cause ya know in your heart babe Our love will never end no You'll always be a part of me I'm part of you indefinitely Girl don't you know you can't escape me Ooh darling cause you'll always be my baby And we'll linger on Time can't erase a feeling this strong No way you're never gonna shake me Ooh darling cause you'll always be my baby I know that you'll be back girl When your days and your nights get a little bit colder oooohhh I know that you'll be right back babe Ooooh baby believe me it's only a matter of time You'll always be a part of me I'm part of you indefinitely Girl don't you know you can't escape me Ooh darling cause you'll always be my baby And we'll linger on Time can't erase a feeling this strong No way you're never gonna shake me Ooh darling cause you'll always be my my baby You'll always be a part of me you will always be I'm part of you indefinitely Girl don't you know you can't escape me Ooh darling cause you'll always be my baby And we'll linger on we will linger on Time can't erase a feeling this strong No way you're never gonna shake me Ooh darling cause you'll always be my baby Always be my baby
204298,204298,need-a-man-blues,2006,bronski-beat,Pop,He e hey I got those need a man blues Driving me mad I go those need a man blues Hurting me bad Sweet sweet sweet Is the taste of a man And sweeter still is the taste Of his sweet tasting love Evil wicked or angel Just give me a man Evil wicked or Angel Need a man blues Need a man blues Angel hurting me bad Boys and heroes lovers and men Turning me upside down Again and again Again and again He e hey I got those need a man blues I got those need a man blues Hurting me oh so bad And the sweetest thing of all Is men loving men loving men loving men Is men loving men loving men loving men I got those need a man blues I got those need a man blues Ne he he he he he he ed a man blues Ne he he he he he he ed a man blues Ne he he he he he he ed a man blues Ne he he he he he he ed a man blues Angel 
28457,28457,you-re-fooling-you,2000,the-dramatics,R&B,You ain't fooling me Huh huh no well Well well yeah ah ah ah Acting needy Loving money being greedy Yeah yeah And you're lying Ooh cheating You've got me crying Ooh baby girl And you're taking taking Giving nothing but shaking Shaking shaking shaking ain't nothing shaking baby And you're faking faking Your love My heart is breaking oh yeah Now tell me who's fooling who You ain't fooling me You're fooling you You're fooling you You're fooling you You're fooling you You're fooling you You're fooling you You're fooling you ooh ooh Ah you're skipping ah you're moving All around me and you're scheming You must think I'm dreaming Ah you breaking You just just keep on shaking And you're lazy just like Susan Don't do nothing you must be crazy If you think I'm gonna be slaving Slaving slaving slaving huh While you're playing Ah tell me who's fooling who You ain't fooling me You're fooling you You're fooling you You're fooling you You're fooling you You're fooling you You're fooling you You're fooling you You're fooling you hey hey hey hey You're acting needy But you're kinda greedy Ain't gonna be slaving No not while you're playing oooh You might think I'm dreaming Tell Tell me who's fooling who You ain't fooling me no I'm fooling you You're fooling you Who's fooling who You're fooling you You ain't fooling me You ain't fooling me You're fooling you You're fooling you you yea baby Who's fooling who You ain't fooling me You thought you had me I'm fooling you You're fooling you Who's fooling who You're fooling you You ain't fooling me You ain't fooling me You're fooling you You ain't fooling me me yeah yeah Who's fooling who You ain't fooling me Nah nah naw I'm fooling you You're fooling you Who's fooling who You're fooling you You ain't fooling me You fooling you You're fooling you You're fooling you you you '
213862,213862,brutal-hearts,2010,bedouin-soundclash,Rock,Are you the Brutal Heart Are you the Brutal Heart that I've been looking for Cause if you're looking for love you can look for that door Hearts Hearts that break the night in two And arms that can't hold you that true So use me So use me I don't mind at all I don't mind that you only call me when you want And I'm just glad you want me at all Hearts And hearts that break the night in two And arms that can't hold you that true So use me So use me So are we Brutal Hearts Are we Brutal Hearts that break the nigh in two Because I just want this night with you Well I don't like the man I don't like the man that I am I just want this night with you Well then lets take this night from black to blue Well then lets take this night from black to blue So use me So use me
200995,200995,underworld,2014,brody-dalle,Rock,I got a place in the underworld That's where I'll go when the map runs out I want a clean slate kissing the morgue On my knees swallowing swords Ouroboros I want to go down to Mexico hear the horns sing in Jalisco I want to lay where the old crones rest Lift the veils of the ancient west Ouroboros All things were are will be out of one Through one and to one All things were are will be To be crowning endlessly Experience every land and sea I want to Love you inside me Forever mine primordially Ouroboros All things were are will be out of one Through one and to one All things were are will be
90589,90589,tom-the-overlord,2009,catherine,Metal,The resistance falls beneath our onslaught Unstoppable force watch our numbers grow Join our dark army it only costs your soul and a box of hair dye Tom the overlord owns all your friends And you'll never stop us were better dressed than you Organized melodrama the world according to popularity Your friends are numbered Well help you count the bodies Your friends are numbers Well give you one as well We are a sophisticated ego mass But were all afraid we all live in fear We assemble every weekend Well turn this world into a soap opera Lights camera action We are the overlord
125739,125739,correct-stranded-in-the-jungle,2006,the-cadets,R&B,I crashed in the jungle while tryin to keep a date With my little girl who was back in the states I was stranded in the jungle afraid and alone Tryin to figure a way to get a message back home But how was I to know there was a record jump my plane Had been picked up and spotted my girl in lovers lane And meanwhile back in the states Baby baby let's make romance You know your old time lover hasn't got a chance He's stranded in the jungle flat as he can be So come on pretty baby just you and me Meanwhile back in the jungle The boys in the jungle had me on the run When something heavy hit me like an atomic bomb When I woke up and my head started to clear I had a strange feeling I was with cooking gear I smelled something cookin and I looked to see That's when I found out they was a cookin me Great Cuckoo let me outta her Meanwhile back in the states I jumped outta the pot and finally got away Frantic and worried about what my baby would say So I jumped in the ocean and started to swim But my chance of survival was gettin mighty slim So I thumbed down a whale who was headin my way And I reached the states in bout a half a day And when I got to lovers lane I was almost dead When my soul was gone here's what I said Baby baby your man is no good Baby baby he should've understood You can trust me as long as can be So come back pretty baby where you used to be Cause I love you cause I love you Cause I love you cause I love you Cause I love you 
318786,318786,welcome-to-the-tribe,2006,doro,Rock,You hear it callin' It's coming tonight on the wind A love as old as the earth and original sin If I lay my arms around you Would you fall apart on me Close your eyes as I take you Into the tribe A lovely night as I take you Into the tribe Take my hand take a bite Take a look in the past We were one we were here Through eternity's dance When I lay this kiss upon you You will never leave oh no As I welcome you Close your eyes as I take you Into the tribe A lovely night as I take you Into the tribe Close your eyes as I take you Into the tribe A lovely night as I take you Into the tribe As I welcome you To the tribe Just close your eyes As I welcome you Just right
342056,342056,things-of-this-world,2006,dc-talk,Rock,Seventy years is all we got To accumulate goods that seem to mean a lot For the first twenty years you're off to school Learnin principles and learnin the tools To make lots of money the ultimate goal Gain the whole world and yet lose ya soul Huh humanism is on a roll Twenty gets the the knowledge thirty years to apply And just twenty years left for askin why I didn't realize what it was all about And was there any use in this rigorous rout because Things of this world are passin away Here tomorrow but they're sure not here to stay Things of this world are passin away So lay your treasure above And start to live for Him today All done for self in this world will pass And all done for Christ in this world will last Sounds like a simple task But everyday life seems to get in the way No time to serve barely time to pray Our focal points lost and we get tossed In the wind cold facin the cost Of fallin without stallin or even callin the Lord While you were blackballin' He was waitin for you to see the light And find for yourself these things are trite Things of this world are passin away Here tomorrow but they're sure not here to stay Things of this world are passin away So lay your treasure above And start to live for Him today Our mind transforms a want to a need A simple process that we call greed Ya say ya like to have money well I do too The problem starts when the money has you Workin overtime to keep up with the pace A lifestyle that you want to embrace But it's two steps from where your needs are met You're keepin up with the Jones but your all in debt Which will lead to stress not meeting the bills While ya sportin a Benz with all the thrills The domino effect's gotcha life in check A temporary stitch and ya livin a wreck Things of this world are passin away Here tomorrow but they're sure not here to stay Things of this world are passin away So lay your treasure above And start to live for Him today Things of this world are passin away Here tomorrow but they're sure not here to stay Things of this world are passin away So lay your treasure above And start to live for Him today Things of this world are passin away Here tomorrow but they're sure not here to stay Things of this world the things of this world The things the things the things of this world Don't lay up your treasures upon this Earth They'll soon pass away and all return to dirt Don't lay up your treasures upon this Earth They'll soon pass away and all return to dirt Don't lay up your treasures upon this Earth They'll soon pass away and all return to dirt
